Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Probability	Detections
1	Spectrogram 1	1	190	194	100	2000	0.97	20191119_120013_190
1	Spectrogram 1	1	412	416	100	2000	0.92	20191119_120013_412
2	Spectrogram 1	1	472	476	100	2000	0.95	20191119_120013_472
3	Spectrogram 1	1	490	494	100	2000	0.91	20191119_120013_490
4	Spectrogram 1	1	547	551	100	2000	0.94	20191119_120013_547
1	Spectrogram 1	1	742	746	100	2000	0.93	20191119_120013_742
2	Spectrogram 1	1	874	878	100	2000	0.93	20191119_120013_874
1	Spectrogram 1	1	1030	1034	100	2000	0.98	20191119_120013_1030
1	Spectrogram 1	1	1252	1256	100	2000	0.95	20191119_120013_1252
2	Spectrogram 1	1	1366	1370	100	2000	0.98	20191119_120013_1366
1	Spectrogram 1	1	1624	1628	100	2000	0.93	20191119_120013_1624
1	Spectrogram 1	1	1873	1877	100	2000	0.95	20191119_120013_1873
2	Spectrogram 1	1	1897	1901	100	2000	0.97	20191119_120013_1897
3	Spectrogram 1	1	1951	1955	100	2000	0.97	20191119_120013_1951
1	Spectrogram 1	1	2191	2195	100	2000	0.91	20191119_120013_2191
2	Spectrogram 1	1	2236	2240	100	2000	0.95	20191119_120013_2236
3	Spectrogram 1	1	2392	2396	100	2000	0.91	20191119_120013_2392
1	Spectrogram 1	1	2479	2483	100	2000	0.94	20191119_120013_2479
2	Spectrogram 1	1	2509	2513	100	2000	0.95	20191119_120013_2509
3	Spectrogram 1	1	2662	2666	100	2000	0.96	20191119_120013_2662
4	Spectrogram 1	1	2671	2675	100	2000	0.94	20191119_120013_2671
5	Spectrogram 1	1	2695	2699	100	2000	0.9	20191119_120013_2695
1	Spectrogram 1	1	2710	2714	100	2000	0.99	20191119_120013_2710
2	Spectrogram 1	1	2881	2885	100	2000	0.95	20191119_120013_2881
1	Spectrogram 1	1	3034	3038	100	2000	0.94	20191119_120013_3034
2	Spectrogram 1	1	3355	3359	100	2000	0.99	20191119_120013_3355
3	Spectrogram 1	1	3382	3386	100	2000	0.92	20191119_120013_3382
4	Spectrogram 1	1	3496	3500	100	2000	0.99	20191119_120013_3496
5	Spectrogram 1	1	3532	3536	100	2000	0.91	20191119_120013_3532
