Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Probability	Detections
1	Spectrogram 1	1	25	29	100	2000	0.9	20191119_150013_25
1	Spectrogram 1	1	433	437	100	2000	0.93	20191119_150013_433
2	Spectrogram 1	1	526	530	100	2000	0.9	20191119_150013_526
3	Spectrogram 1	1	553	557	100	2000	0.9	20191119_150013_553
1	Spectrogram 1	1	697	701	100	2000	0.96	20191119_150013_697
2	Spectrogram 1	1	742	746	100	2000	0.95	20191119_150013_742
3	Spectrogram 1	1	880	884	100	2000	0.91	20191119_150013_880
1	Spectrogram 1	1	934	938	100	2000	0.98	20191119_150013_934
1	Spectrogram 1	1	1258	1262	100	2000	0.99	20191119_150013_1258
2	Spectrogram 1	1	1489	1493	100	2000	0.98	20191119_150013_1489
1	Spectrogram 1	1	1675	1679	100	2000	0.98	20191119_150013_1675
2	Spectrogram 1	1	1723	1727	100	2000	0.98	20191119_150013_1723
3	Spectrogram 1	1	1774	1778	100	2000	0.93	20191119_150013_1774
1	Spectrogram 1	1	1888	1892	100	2000	0.9	20191119_150013_1888
2	Spectrogram 1	1	2062	2066	100	2000	0.93	20191119_150013_2062
1	Spectrogram 1	1	2146	2150	100	2000	0.97	20191119_150013_2146
2	Spectrogram 1	1	2215	2219	100	2000	0.97	20191119_150013_2215
3	Spectrogram 1	1	2221	2225	100	2000	0.98	20191119_150013_2221
1	Spectrogram 1	1	2560	2564	100	2000	0.9	20191119_150013_2560
2	Spectrogram 1	1	2569	2573	100	2000	0.9	20191119_150013_2569
1	Spectrogram 1	1	2752	2756	100	2000	0.94	20191119_150013_2752
2	Spectrogram 1	1	2923	2927	100	2000	0.91	20191119_150013_2923
3	Spectrogram 1	1	2962	2966	100	2000	0.92	20191119_150013_2962
4	Spectrogram 1	1	2971	2975	100	2000	0.95	20191119_150013_2971
1	Spectrogram 1	1	3016	3020	100	2000	0.9	20191119_150013_3016
2	Spectrogram 1	1	3340	3344	100	2000	0.92	20191119_150013_3340
3	Spectrogram 1	1	3565	3569	100	2000	1	20191119_150013_3565
