Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Probability	Detections
1	Spectrogram 1	1	13150	13154	100	2000	0.91	20191120_030352_13150
1	Spectrogram 1	1	15124	15128	100	2000	0.95	20191120_030352_15124
1	Spectrogram 1	1	20317	20321	100	2000	0.97	20191120_030352_20317
1	Spectrogram 1	1	20863	20867	100	2000	0.91	20191120_030352_20863
2	Spectrogram 1	1	20869	20873	100	2000	0.91	20191120_030352_20869
1	Spectrogram 1	1	23413	23417	100	2000	0.91	20191120_030352_23413
1	Spectrogram 1	1	23935	23939	100	2000	0.91	20191120_030352_23935
1	Spectrogram 1	1	26389	26393	100	2000	0.91	20191120_030352_26389
1	Spectrogram 1	1	26977	26981	100	2000	0.97	20191120_030352_26977
1	Spectrogram 1	1	29917	29921	100	2000	0.93	20191120_030352_29917
1	Spectrogram 1	1	34024	34028	100	2000	0.93	20191120_030352_34024
1	Spectrogram 1	1	34723	34727	100	2000	0.91	20191120_030352_34723
1	Spectrogram 1	1	37414	37418	100	2000	0.92	20191120_030352_37414
1	Spectrogram 1	1	38404	38408	100	2000	0.95	20191120_030352_38404
2	Spectrogram 1	1	38443	38447	100	2000	0.91	20191120_030352_38443
1	Spectrogram 1	1	46051	46055	100	2000	0.96	20191120_030352_46051
1	Spectrogram 1	1	55771	55775	100	2000	0.97	20191120_030352_55771
