Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Probability	Detections
1	Spectrogram 1	1	163	167	100	2000	0.99	20191028_130135_163
2	Spectrogram 1	1	265	269	100	2000	0.96	20191028_130135_265
1	Spectrogram 1	1	412	416	100	2000	0.96	20191028_130135_412
2	Spectrogram 1	1	424	428	100	2000	0.93	20191028_130135_424
1	Spectrogram 1	1	868	872	100	2000	0.95	20191028_130135_868
1	Spectrogram 1	1	2065	2069	100	2000	0.94	20191028_130135_2065
1	Spectrogram 1	1	2569	2573	100	2000	0.94	20191028_130135_2569
2	Spectrogram 1	1	2602	2606	100	2000	0.97	20191028_130135_2602
3	Spectrogram 1	1	2614	2618	100	2000	0.96	20191028_130135_2614
1	Spectrogram 1	1	3199	3203	100	2000	0.99	20191028_130135_3199
2	Spectrogram 1	1	3214	3218	100	2000	0.91	20191028_130135_3214
